"Champion Name","Coefficient","P values","Standard Error","T value","95CI_LB","95CI-UB","Winrate","Games Count"
"Ahri","0.240","0.008","0.090","2.668","0.064","0.417","51.29%","2759"
"Akali","-0.367","0.000","0.096","-3.832","-0.555","-0.179","38.92%","1783"
"Alistar","0.319","0.001","0.092","3.473","0.139","0.499","53.42%","2351"
"Amumu","0.348","0.000","0.092","3.786","0.168","0.529","54.25%","2387"
"Anivia","0.029","0.751","0.092","0.317","-0.150","0.208","46.38%","2555"
"Annie","0.261","0.003","0.088","2.980","0.089","0.432","52.14%","3778"
"Ashe","0.468","0.000","0.087","5.410","0.299","0.638","56.65%","4480"
"Aurelion Sol","0.091","0.346","0.096","0.942","-0.098","0.280","47.33%","1627"
"Azir","-0.228","0.015","0.094","-2.437","-0.412","-0.045","40.75%","2071"
"Bard","-0.230","0.014","0.093","-2.467","-0.413","-0.047","40.99%","2147"
"Blitzcrank","0.185","0.036","0.088","2.092","0.012","0.358","50.07%","3467"
"Brand","0.554","0.000","0.090","6.163","0.378","0.730","58.51%","2904"
"Braum","0.190","0.049","0.097","1.968","0.001","0.380","51.21%","1568"
"Caitlyn","0.385","0.000","0.089","4.351","0.212","0.559","54.91%","3340"
"Camille","-0.269","0.009","0.102","-2.628","-0.470","-0.068","41.08%","1222"
"Cassiopeia","0.166","0.077","0.094","1.768","-0.018","0.351","49.85%","1966"
"Cho'Gath","0.187","0.039","0.091","2.063","0.009","0.365","51.05%","2631"
"Corki","-0.066","0.467","0.091","-0.728","-0.245","0.112","44.82%","2519"
"Darius","0.249","0.008","0.094","2.654","0.065","0.434","51.71%","1994"
"Diana","-0.109","0.263","0.097","-1.119","-0.300","0.082","43.99%","1582"
"Dr. Mundo","0.389","0.000","0.093","4.176","0.206","0.571","54.67%","2142"
"Draven","0.075","0.421","0.094","0.805","-0.108","0.259","47.47%","2052"
"Ekko","0.085","0.359","0.093","0.918","-0.097","0.267","48.02%","2118"
"Elise","-0.278","0.006","0.102","-2.727","-0.478","-0.078","40.61%","1204"
"Evelynn","-0.576","0.000","0.100","-5.762","-0.772","-0.380","34.01%","1467"
"Ezreal","0.164","0.064","0.089","1.851","-0.010","0.338","49.88%","3384"
"Fiddlesticks","0.583","0.000","0.089","6.554","0.409","0.757","58.91%","3298"
"Fiora","-0.042","0.668","0.099","-0.429","-0.236","0.152","45.91%","1392"
"Fizz","-0.175","0.060","0.093","-1.884","-0.357","0.007","43.18%","2228"
"Galio","0.458","0.000","0.092","4.967","0.277","0.639","56.75%","2372"
"Gangplank","0.091","0.325","0.092","0.984","-0.090","0.271","47.86%","2409"
"Garen","0.387","0.000","0.089","4.347","0.212","0.561","54.68%","3288"
"Gnar","0.183","0.059","0.097","1.892","-0.007","0.373","51.31%","1635"
"Gragas","-0.116","0.221","0.095","-1.223","-0.302","0.070","44.01%","1895"
"Graves","0.120","0.188","0.091","1.317","-0.059","0.298","48.32%","2537"
"Hecarim","-0.265","0.009","0.102","-2.595","-0.465","-0.065","41.82%","1229"
"Heimerdinger","0.479","0.000","0.091","5.237","0.300","0.658","56.27%","2536"
"Illaoi","0.571","0.000","0.097","5.913","0.382","0.760","58.16%","1697"
"Irelia","0.001","0.988","0.099","0.015","-0.192","0.195","46.52%","1451"
"Ivern","-0.077","0.511","0.117","-0.657","-0.306","0.152","43.33%","667"
"Janna","0.589","0.000","0.090","6.546","0.413","0.765","58.99%","2982"
"Jarvan IV","-0.002","0.985","0.097","-0.019","-0.192","0.189","46.17%","1566"
"Jax","-0.034","0.711","0.093","-0.370","-0.217","0.148","45.56%","2127"
"Jayce","-0.016","0.866","0.092","-0.169","-0.197","0.165","45.91%","2261"
"Jhin","0.469","0.000","0.089","5.274","0.295","0.643","56.08%","3028"
"Jinx","0.468","0.000","0.089","5.251","0.293","0.642","56.35%","3251"
"Kai'Sa","-0.200","0.165","0.144","-1.388","-0.482","0.082","42.11%","342"
"Kalista","-0.051","0.591","0.095","-0.538","-0.236","0.134","45.99%","1907"
"Karma","0.139","0.119","0.089","1.558","-0.036","0.315","49.77%","3060"
"Karthus","0.353","0.000","0.093","3.785","0.170","0.536","54.72%","2065"
"Kassadin","-0.318","0.001","0.096","-3.323","-0.506","-0.130","39.69%","1809"
"Katarina","-0.282","0.002","0.092","-3.062","-0.463","-0.102","40.96%","2395"
"Kayle","0.130","0.148","0.090","1.447","-0.046","0.305","48.90%","2990"
"Kayn","-0.121","0.224","0.099","-1.215","-0.315","0.074","43.73%","1363"
"Kennen","-0.136","0.150","0.095","-1.438","-0.322","0.049","44.01%","1877"
"Kha'Zix","-0.390","0.000","0.099","-3.931","-0.585","-0.196","39.39%","1485"
"Kindred","-0.173","0.079","0.098","-1.757","-0.365","0.020","43.29%","1506"
"Kled","0.010","0.926","0.103","0.093","-0.192","0.211","45.83%","1163"
"Kog'Maw","0.642","0.000","0.091","7.086","0.465","0.820","60.02%","2759"
"LeBlanc","-0.714","0.000","0.100","-7.142","-0.910","-0.518","31.67%","1525"
"Lee Sin","-0.474","0.000","0.097","-4.901","-0.664","-0.285","37.35%","1719"
"Leona","0.205","0.026","0.092","2.228","0.025","0.385","50.48%","2375"
"Lissandra","-0.205","0.038","0.099","-2.072","-0.399","-0.011","42.14%","1457"
"Lucian","-0.014","0.876","0.091","-0.156","-0.192","0.164","45.89%","2615"
"Lulu","0.035","0.701","0.091","0.385","-0.144","0.214","47.44%","2460"
"Lux","0.702","0.000","0.088","8.013","0.530","0.874","60.80%","3903"
"Malphite","0.201","0.026","0.090","2.228","0.024","0.377","51.03%","2718"
"Malzahar","0.274","0.003","0.091","2.995","0.095","0.453","52.68%","2481"
"Maokai","0.854","0.000","0.093","9.148","0.671","1.037","64.33%","2327"
"Master Yi","0.210","0.018","0.089","2.364","0.036","0.384","50.91%","3202"
"Miss Fortune","0.444","0.000","0.089","5.014","0.270","0.617","55.42%","3645"
"Mordekaiser","-0.045","0.666","0.103","-0.432","-0.247","0.158","45.18%","1140"
"Morgana","0.297","0.001","0.088","3.383","0.125","0.470","52.09%","3828"
"Nami","0.388","0.000","0.092","4.212","0.208","0.569","54.42%","2286"
"Nasus","0.235","0.009","0.090","2.615","0.059","0.412","50.79%","2839"
"Nautilus","0.325","0.000","0.093","3.505","0.143","0.507","53.45%","2204"
"Nidalee","-0.251","0.005","0.090","-2.798","-0.427","-0.075","41.16%","2971"
"Nocturne","-0.322","0.003","0.110","-2.938","-0.536","-0.107","40.34%","880"
"Nunu","-0.123","0.191","0.094","-1.308","-0.308","0.061","43.78%","1930"
"Olaf","0.017","0.868","0.103","0.166","-0.185","0.219","45.96%","1151"
"Orianna","0.201","0.027","0.091","2.204","0.022","0.379","50.53%","2529"
"Ornn","0.212","0.031","0.098","2.154","0.019","0.404","50.67%","1490"
"Pantheon","-0.114","0.228","0.094","-1.207","-0.299","0.071","43.66%","1949"
"Poppy","-0.141","0.129","0.093","-1.518","-0.323","0.041","43.37%","2186"
"Quinn","-0.050","0.610","0.098","-0.510","-0.241","0.141","45.83%","1617"
"Rakan","0.051","0.593","0.096","0.534","-0.137","0.240","46.99%","1760"
"Rammus","0.176","0.071","0.098","1.806","-0.015","0.368","50.10%","1551"
"Rek'Sai","-0.604","0.000","0.115","-5.240","-0.830","-0.378","33.60%","759"
"Renekton","-0.052","0.600","0.099","-0.525","-0.247","0.142","45.26%","1392"
"Rengar","-0.195","0.052","0.100","-1.945","-0.392","0.001","42.43%","1294"
"Riven","-0.247","0.009","0.095","-2.603","-0.433","-0.061","41.25%","1898"
"Rumble","-0.090","0.347","0.096","-0.940","-0.279","0.098","43.89%","1734"
"Ryze","-0.392","0.000","0.091","-4.315","-0.570","-0.214","38.07%","2779"
"Sejuani","-0.052","0.601","0.100","-0.523","-0.248","0.143","46.26%","1351"
"Shaco","-0.015","0.870","0.094","-0.164","-0.201","0.170","46.13%","1938"
"Shen","0.151","0.114","0.096","1.581","-0.036","0.338","48.67%","1763"
"Shyvana","0.084","0.421","0.104","0.804","-0.120","0.287","47.22%","1099"
"Singed","0.135","0.149","0.094","1.443","-0.048","0.318","49.83%","2043"
"Sion","0.665","0.000","0.093","7.122","0.482","0.848","60.14%","2195"
"Sivir","0.546","0.000","0.088","6.229","0.374","0.718","58.39%","3941"
"Skarner","0.148","0.172","0.108","1.365","-0.064","0.361","50.52%","869"
"Sona","0.825","0.000","0.089","9.232","0.650","1.000","63.89%","3290"
"Soraka","-0.005","0.957","0.089","-0.054","-0.179","0.169","45.64%","3306"
"Swain","0.401","0.000","0.094","4.274","0.217","0.585","54.74%","2048"
"Syndra","-0.116","0.209","0.092","-1.257","-0.296","0.065","44.09%","2334"
"Tahm Kench","-0.195","0.048","0.099","-1.975","-0.388","-0.001","41.58%","1467"
"Taliyah","-0.189","0.049","0.096","-1.968","-0.377","-0.001","42.24%","1702"
"Talon","-0.073","0.458","0.099","-0.742","-0.267","0.120","43.67%","1422"
"Taric","0.378","0.000","0.096","3.930","0.189","0.566","53.96%","1718"
"Teemo","0.658","0.000","0.088","7.465","0.485","0.830","59.76%","3770"
"Thresh","0.093","0.310","0.091","1.015","-0.086","0.272","48.55%","2546"
"Tristana","0.165","0.060","0.088","1.878","-0.007","0.337","49.84%","3547"
"Trundle","0.284","0.005","0.100","2.834","0.088","0.480","52.64%","1326"
"Tryndamere","-0.224","0.023","0.099","-2.279","-0.418","-0.031","40.80%","1483"
"Twisted Fate","0.299","0.001","0.090","3.334","0.123","0.475","53.00%","2968"
"Twitch","0.159","0.071","0.088","1.809","-0.013","0.332","49.53%","3412"
"Udyr","-0.097","0.360","0.107","-0.915","-0.306","0.111","45.17%","983"
"Urgot","0.346","0.000","0.096","3.618","0.159","0.534","54.19%","1744"
"Varus","0.230","0.010","0.089","2.584","0.056","0.405","51.52%","3022"
"Vayne","-0.014","0.872","0.090","-0.161","-0.190","0.161","45.74%","2991"
"Veigar","0.538","0.000","0.088","6.130","0.366","0.709","58.03%","3812"
"Vel'Koz","0.729","0.000","0.091","7.993","0.550","0.908","61.86%","2640"
"Vi","-0.127","0.206","0.100","-1.264","-0.324","0.070","43.66%","1324"
"Viktor","0.233","0.015","0.096","2.432","0.045","0.421","51.06%","1704"
"Vladimir","0.014","0.880","0.093","0.151","-0.169","0.197","46.47%","2111"
"Volibear","0.440","0.000","0.101","4.359","0.242","0.637","55.43%","1288"
"Warwick","0.018","0.844","0.092","0.197","-0.162","0.198","46.85%","2314"
"Wukong","0.306","0.001","0.095","3.209","0.119","0.493","53.00%","1847"
"Xayah","0.212","0.019","0.090","2.355","0.036","0.389","51.65%","2782"
"Xerath","0.552","0.000","0.093","5.964","0.371","0.733","58.00%","2338"
"Xin Zhao","0.041","0.670","0.097","0.425","-0.148","0.230","46.94%","1651"
"Yasuo","0.052","0.577","0.093","0.557","-0.130","0.233","47.53%","2226"
"Yorick","0.388","0.000","0.109","3.566","0.175","0.601","54.11%","889"
"Zac","-0.160","0.119","0.102","-1.561","-0.360","0.041","42.28%","1204"
"Zed","-0.251","0.007","0.093","-2.704","-0.433","-0.069","41.04%","2278"
"Ziggs","0.975","0.000","0.091","10.772","0.798","1.153","66.84%","2937"
"Zilean","0.079","0.385","0.090","0.869","-0.099","0.256","47.61%","2674"
"Zoe","-0.114","0.224","0.094","-1.215","-0.299","0.070","44.40%","1964"
"Zyra","0.580","0.000","0.093","6.240","0.397","0.762","59.07%","2221"
"Intercept","0.010","0.441","0.013","0.771","-0.015","0.035","45.75%","730"
